class_name,source_folder,original_filename,original_path,augmentation_type,output_filename,output_path,parameters_json,original_height,original_width,output_height,output_width
word,word_pdfs_png,Africa.png,word_pdfs_png/Africa.png,dpi_downsampling,Africa__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Africa__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [42, 41]}",174,172,174,172
word,word_pdfs_png,Africa.png,word_pdfs_png/Africa.png,random_crop,Africa__random_crop.png,augmented_images/word/random_crop/Africa__random_crop.png,"{""top_crop_pct"": 0.0156, ""bottom_crop_pct"": 0.0227, ""left_crop_pct"": 0.0173, ""right_crop_pct"": 0.0174, ""cropped_size"": [167, 166]}",174,172,174,172
word,word_pdfs_png,Africa.png,word_pdfs_png/Africa.png,bit_depth_reduction,Africa__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Africa__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",174,172,174,172
word,word_pdfs_png,Agatha_Christie.png,word_pdfs_png/Agatha_Christie.png,gaussian_noise,Agatha_Christie__gaussian_noise.png,augmented_images/word/gaussian_noise/Agatha_Christie__gaussian_noise.png,"{""sigma"": 8.1426}",168,167,168,167
word,word_pdfs_png,Agatha_Christie.png,word_pdfs_png/Agatha_Christie.png,jpeg_compression,Agatha_Christie__jpeg_compression.png,augmented_images/word/jpeg_compression/Agatha_Christie__jpeg_compression.png,"{""jpeg_quality"": 37}",168,167,168,167
word,word_pdfs_png,Agatha_Christie.png,word_pdfs_png/Agatha_Christie.png,dpi_downsampling,Agatha_Christie__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Agatha_Christie__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [84, 84]}",168,167,168,167
word,word_pdfs_png,Agatha_Christie.png,word_pdfs_png/Agatha_Christie.png,random_crop,Agatha_Christie__random_crop.png,augmented_images/word/random_crop/Agatha_Christie__random_crop.png,"{""top_crop_pct"": 0.0222, ""bottom_crop_pct"": 0.0134, ""left_crop_pct"": 0.0246, ""right_crop_pct"": 0.0133, ""cropped_size"": [162, 161]}",168,167,168,167
word,word_pdfs_png,Agatha_Christie.png,word_pdfs_png/Agatha_Christie.png,bit_depth_reduction,Agatha_Christie__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Agatha_Christie__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",168,167,168,167
word,word_pdfs_png,Age_of_Enlightenment.png,word_pdfs_png/Age_of_Enlightenment.png,gaussian_noise,Age_of_Enlightenment__gaussian_noise.png,augmented_images/word/gaussian_noise/Age_of_Enlightenment__gaussian_noise.png,"{""sigma"": 10.6918}",172,170,172,170
word,word_pdfs_png,Age_of_Enlightenment.png,word_pdfs_png/Age_of_Enlightenment.png,jpeg_compression,Age_of_Enlightenment__jpeg_compression.png,augmented_images/word/jpeg_compression/Age_of_Enlightenment__jpeg_compression.png,"{""jpeg_quality"": 79}",172,170,172,170
word,word_pdfs_png,Age_of_Enlightenment.png,word_pdfs_png/Age_of_Enlightenment.png,dpi_downsampling,Age_of_Enlightenment__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Age_of_Enlightenment__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [86, 85]}",172,170,172,170
word,word_pdfs_png,Age_of_Enlightenment.png,word_pdfs_png/Age_of_Enlightenment.png,random_crop,Age_of_Enlightenment__random_crop.png,augmented_images/word/random_crop/Age_of_Enlightenment__random_crop.png,"{""top_crop_pct"": 0.0237, ""bottom_crop_pct"": 0.0269, ""left_crop_pct"": 0.0255, ""right_crop_pct"": 0.0146, ""cropped_size"": [163, 164]}",172,170,172,170
word,word_pdfs_png,Age_of_Enlightenment.png,word_pdfs_png/Age_of_Enlightenment.png,bit_depth_reduction,Age_of_Enlightenment__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Age_of_Enlightenment__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",172,170,172,170
word,word_pdfs_png,Agriculture.png,word_pdfs_png/Agriculture.png,gaussian_noise,Agriculture__gaussian_noise.png,augmented_images/word/gaussian_noise/Agriculture__gaussian_noise.png,"{""sigma"": 5.4815}",160,159,160,159
word,word_pdfs_png,Agriculture.png,word_pdfs_png/Agriculture.png,jpeg_compression,Agriculture__jpeg_compression.png,augmented_images/word/jpeg_compression/Agriculture__jpeg_compression.png,"{""jpeg_quality"": 40}",160,159,160,159
word,word_pdfs_png,Agriculture.png,word_pdfs_png/Agriculture.png,dpi_downsampling,Agriculture__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Agriculture__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [38, 38]}",160,159,160,159
word,word_pdfs_png,Agriculture.png,word_pdfs_png/Agriculture.png,random_crop,Agriculture__random_crop.png,augmented_images/word/random_crop/Agriculture__random_crop.png,"{""top_crop_pct"": 0.0154, ""bottom_crop_pct"": 0.0142, ""left_crop_pct"": 0.0289, ""right_crop_pct"": 0.0275, ""cropped_size"": [156, 150]}",160,159,160,159
word,word_pdfs_png,Agriculture.png,word_pdfs_png/Agriculture.png,bit_depth_reduction,Agriculture__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Agriculture__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",160,159,160,159
word,word_pdfs_png,Algebra.png,word_pdfs_png/Algebra.png,gaussian_noise,Algebra__gaussian_noise.png,augmented_images/word/gaussian_noise/Algebra__gaussian_noise.png,"{""sigma"": 9.7202}",151,150,151,150
word,word_pdfs_png,Algebra.png,word_pdfs_png/Algebra.png,jpeg_compression,Algebra__jpeg_compression.png,augmented_images/word/jpeg_compression/Algebra__jpeg_compression.png,"{""jpeg_quality"": 61}",151,150,151,150
word,word_pdfs_png,Algebra.png,word_pdfs_png/Algebra.png,dpi_downsampling,Algebra__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Algebra__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [36, 36]}",151,150,151,150
word,word_pdfs_png,Algebra.png,word_pdfs_png/Algebra.png,random_crop,Algebra__random_crop.png,augmented_images/word/random_crop/Algebra__random_crop.png,"{""top_crop_pct"": 0.0179, ""bottom_crop_pct"": 0.0283, ""left_crop_pct"": 0.0192, ""right_crop_pct"": 0.0153, ""cropped_size"": [144, 145]}",151,150,151,150
word,word_pdfs_png,Algebra.png,word_pdfs_png/Algebra.png,bit_depth_reduction,Algebra__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Algebra__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",151,150,151,150
word,word_pdfs_png,Alps.png,word_pdfs_png/Alps.png,gaussian_noise,Alps__gaussian_noise.png,augmented_images/word/gaussian_noise/Alps__gaussian_noise.png,"{""sigma"": 8.6994}",157,156,157,156
word,word_pdfs_png,Alps.png,word_pdfs_png/Alps.png,jpeg_compression,Alps__jpeg_compression.png,augmented_images/word/jpeg_compression/Alps__jpeg_compression.png,"{""jpeg_quality"": 55}",157,156,157,156
word,word_pdfs_png,Alps.png,word_pdfs_png/Alps.png,dpi_downsampling,Alps__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Alps__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [38, 37]}",157,156,157,156
word,word_pdfs_png,Alps.png,word_pdfs_png/Alps.png,random_crop,Alps__random_crop.png,augmented_images/word/random_crop/Alps__random_crop.png,"{""top_crop_pct"": 0.0249, ""bottom_crop_pct"": 0.0186, ""left_crop_pct"": 0.0217, ""right_crop_pct"": 0.0172, ""cropped_size"": [150, 150]}",157,156,157,156
word,word_pdfs_png,Alps.png,word_pdfs_png/Alps.png,bit_depth_reduction,Alps__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Alps__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",157,156,157,156
word,word_pdfs_png,Alzheimer's_disease.png,word_pdfs_png/Alzheimer's_disease.png,gaussian_noise,Alzheimer's_disease__gaussian_noise.png,augmented_images/word/gaussian_noise/Alzheimer's_disease__gaussian_noise.png,"{""sigma"": 19.9599}",169,167,169,167
word,word_pdfs_png,Alzheimer's_disease.png,word_pdfs_png/Alzheimer's_disease.png,jpeg_compression,Alzheimer's_disease__jpeg_compression.png,augmented_images/word/jpeg_compression/Alzheimer's_disease__jpeg_compression.png,"{""jpeg_quality"": 28}",169,167,169,167
word,word_pdfs_png,Alzheimer's_disease.png,word_pdfs_png/Alzheimer's_disease.png,dpi_downsampling,Alzheimer's_disease__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Alzheimer's_disease__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 72, ""scale_factor"": 0.24, ""intermediate_size"": [41, 40]}",169,167,169,167
word,word_pdfs_png,Alzheimer's_disease.png,word_pdfs_png/Alzheimer's_disease.png,random_crop,Alzheimer's_disease__random_crop.png,augmented_images/word/random_crop/Alzheimer's_disease__random_crop.png,"{""top_crop_pct"": 0.0118, ""bottom_crop_pct"": 0.0109, ""left_crop_pct"": 0.0122, ""right_crop_pct"": 0.0225, ""cropped_size"": [165, 161]}",169,167,169,167
word,word_pdfs_png,Alzheimer's_disease.png,word_pdfs_png/Alzheimer's_disease.png,bit_depth_reduction,Alzheimer's_disease__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Alzheimer's_disease__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",169,167,169,167
word,word_pdfs_png,Amazon_River.png,word_pdfs_png/Amazon_River.png,gaussian_noise,Amazon_River__gaussian_noise.png,augmented_images/word/gaussian_noise/Amazon_River__gaussian_noise.png,"{""sigma"": 16.8812}",162,160,162,160
word,word_pdfs_png,Amazon_River.png,word_pdfs_png/Amazon_River.png,jpeg_compression,Amazon_River__jpeg_compression.png,augmented_images/word/jpeg_compression/Amazon_River__jpeg_compression.png,"{""jpeg_quality"": 47}",162,160,162,160
word,word_pdfs_png,Amazon_River.png,word_pdfs_png/Amazon_River.png,dpi_downsampling,Amazon_River__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Amazon_River__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [81, 80]}",162,160,162,160
word,word_pdfs_png,Amazon_River.png,word_pdfs_png/Amazon_River.png,random_crop,Amazon_River__random_crop.png,augmented_images/word/random_crop/Amazon_River__random_crop.png,"{""top_crop_pct"": 0.0177, ""bottom_crop_pct"": 0.0219, ""left_crop_pct"": 0.0194, ""right_crop_pct"": 0.015, ""cropped_size"": [155, 155]}",162,160,162,160
word,word_pdfs_png,Amazon_River.png,word_pdfs_png/Amazon_River.png,bit_depth_reduction,Amazon_River__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Amazon_River__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",162,160,162,160
word,word_pdfs_png,Amazon_rainforest.png,word_pdfs_png/Amazon_rainforest.png,gaussian_noise,Amazon_rainforest__gaussian_noise.png,augmented_images/word/gaussian_noise/Amazon_rainforest__gaussian_noise.png,"{""sigma"": 13.2984}",159,158,159,158
word,word_pdfs_png,Amazon_rainforest.png,word_pdfs_png/Amazon_rainforest.png,jpeg_compression,Amazon_rainforest__jpeg_compression.png,augmented_images/word/jpeg_compression/Amazon_rainforest__jpeg_compression.png,"{""jpeg_quality"": 80}",159,158,159,158
word,word_pdfs_png,Amazon_rainforest.png,word_pdfs_png/Amazon_rainforest.png,dpi_downsampling,Amazon_rainforest__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Amazon_rainforest__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [80, 79]}",159,158,159,158
word,word_pdfs_png,Amazon_rainforest.png,word_pdfs_png/Amazon_rainforest.png,random_crop,Amazon_rainforest__random_crop.png,augmented_images/word/random_crop/Amazon_rainforest__random_crop.png,"{""top_crop_pct"": 0.0236, ""bottom_crop_pct"": 0.0123, ""left_crop_pct"": 0.0277, ""right_crop_pct"": 0.025, ""cropped_size"": [153, 150]}",159,158,159,158
word,word_pdfs_png,Amazon_rainforest.png,word_pdfs_png/Amazon_rainforest.png,bit_depth_reduction,Amazon_rainforest__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/Amazon_rainforest__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",159,158,159,158
word,word_pdfs_png,American_Civil_War.png,word_pdfs_png/American_Civil_War.png,gaussian_noise,American_Civil_War__gaussian_noise.png,augmented_images/word/gaussian_noise/American_Civil_War__gaussian_noise.png,"{""sigma"": 16.529}",173,172,173,172
word,word_pdfs_png,American_Civil_War.png,word_pdfs_png/American_Civil_War.png,jpeg_compression,American_Civil_War__jpeg_compression.png,augmented_images/word/jpeg_compression/American_Civil_War__jpeg_compression.png,"{""jpeg_quality"": 41}",173,172,173,172
word,word_pdfs_png,American_Civil_War.png,word_pdfs_png/American_Civil_War.png,dpi_downsampling,American_Civil_War__dpi_downsampling.png,augmented_images/word/dpi_downsampling/American_Civil_War__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [86, 86]}",173,172,173,172
word,word_pdfs_png,American_Civil_War.png,word_pdfs_png/American_Civil_War.png,random_crop,American_Civil_War__random_crop.png,augmented_images/word/random_crop/American_Civil_War__random_crop.png,"{""top_crop_pct"": 0.0159, ""bottom_crop_pct"": 0.0132, ""left_crop_pct"": 0.0101, ""right_crop_pct"": 0.0244, ""cropped_size"": [168, 166]}",173,172,173,172
word,word_pdfs_png,American_Civil_War.png,word_pdfs_png/American_Civil_War.png,bit_depth_reduction,American_Civil_War__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/American_Civil_War__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",173,172,173,172
word,word_pdfs_png,American_Revolution.png,word_pdfs_png/American_Revolution.png,gaussian_noise,American_Revolution__gaussian_noise.png,augmented_images/word/gaussian_noise/American_Revolution__gaussian_noise.png,"{""sigma"": 15.7952}",178,177,178,177
word,word_pdfs_png,American_Revolution.png,word_pdfs_png/American_Revolution.png,jpeg_compression,American_Revolution__jpeg_compression.png,augmented_images/word/jpeg_compression/American_Revolution__jpeg_compression.png,"{""jpeg_quality"": 52}",178,177,178,177
word,word_pdfs_png,American_Revolution.png,word_pdfs_png/American_Revolution.png,dpi_downsampling,American_Revolution__dpi_downsampling.png,augmented_images/word/dpi_downsampling/American_Revolution__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [89, 88]}",178,177,178,177
word,word_pdfs_png,American_Revolution.png,word_pdfs_png/American_Revolution.png,random_crop,American_Revolution__random_crop.png,augmented_images/word/random_crop/American_Revolution__random_crop.png,"{""top_crop_pct"": 0.0202, ""bottom_crop_pct"": 0.0121, ""left_crop_pct"": 0.0225, ""right_crop_pct"": 0.0268, ""cropped_size"": [172, 168]}",178,177,178,177
word,word_pdfs_png,American_Revolution.png,word_pdfs_png/American_Revolution.png,bit_depth_reduction,American_Revolution__bit_depth_reduction.png,augmented_images/word/bit_depth_reduction/American_Revolution__bit_depth_reduction.png,"{""bit_depth_original"": 8, ""bit_depth_reduced"": 4, ""levels"": 16}",178,177,178,177
word,word_pdfs_png,Ancient_Egypt.png,word_pdfs_png/Ancient_Egypt.png,gaussian_noise,Ancient_Egypt__gaussian_noise.png,augmented_images/word/gaussian_noise/Ancient_Egypt__gaussian_noise.png,"{""sigma"": 12.6149}",166,164,166,164
word,word_pdfs_png,Ancient_Egypt.png,word_pdfs_png/Ancient_Egypt.png,jpeg_compression,Ancient_Egypt__jpeg_compression.png,augmented_images/word/jpeg_compression/Ancient_Egypt__jpeg_compression.png,"{""jpeg_quality"": 32}",166,164,166,164
word,word_pdfs_png,Ancient_Egypt.png,word_pdfs_png/Ancient_Egypt.png,dpi_downsampling,Ancient_Egypt__dpi_downsampling.png,augmented_images/word/dpi_downsampling/Ancient_Egypt__dpi_downsampling.png,"{""original_dpi"": 300, ""target_dpi"": 150, ""scale_factor"": 0.5, ""intermediate_size"": [83, 82]}",166,164,166,164
